task,llm_model,attn_method,predictors,dependent,feature_name,coefficient,t,std_error,p_value,rsquared,rsquared_adj,rmse,f_pvalue,perm_imp_mean,perm_imp_std,wilcoxon_baseline_stat,wilcoxon_baseline_p,wilcoxon_pca_vs_gaze_stat,wilcoxon_pca_vs_gaze_p
task2,llama,none,text_only,nFixations,const,0.04286370950102533,10.059198058780165,0.004261145794183043,1.3684871690170746e-23,0.3142586691349303,0.3121599963549301,0.030113985724609115,0.0,0.0,0.0,,,408065.0,0.09968490258487174
task2,llama,none,text_only,nFixations,frequency,-0.004835447450409958,-8.919820328420975,0.0005421014406537883,6.345849045096667e-19,0.3142586691349303,0.3121599963549301,0.030113985724609115,0.0,0.0020364007894842877,0.0002075225179761214,,,,
task2,llama,none,text_only,nFixations,length,0.0041235327635628,17.10011125090455,0.00024114069803754496,7.782675631543934e-64,0.3142586691349303,0.3121599963549301,0.030113985724609115,0.0,0.004084702875299351,0.00031086930085171807,,,,
task2,llama,none,text_only,nFixations,surprisal,0.001030163031851599,12.377286367533548,8.323012017834423e-05,1.055635656062126e-34,0.3142586691349303,0.3121599963549301,0.030113985724609115,0.0,0.001289107274879675,0.00016501345212102856,,,,
task2,llama,none,text_only,nFixations,role,0.005286304303806426,3.28044526992932,0.0016114593809151779,0.0010432112510541168,0.3142586691349303,0.3121599963549301,0.030113985724609115,0.0,0.0003486809805740974,6.043522562844348e-05,,,,
task2,llama,none,text_only,meanPupilSize,const,0.027518736675850496,7.240339356280555,0.0038007523296514634,5.123584488171645e-13,0.18169785406573968,0.1791934863658643,0.027090129607426752,3.596589537823913e-226,0.0,0.0,,,414274.0,0.23246042366970965
task2,llama,none,text_only,meanPupilSize,frequency,-0.0007135068297598099,-1.475619536751503,0.00048353034911055516,0.14010615262006812,0.18169785406573968,0.1791934863658643,0.027090129607426752,3.596589537823913e-226,0.00011668114100427292,3.7247331164036004e-05,,,,
task2,llama,none,text_only,meanPupilSize,length,0.0020253559134028867,9.4164599139296,0.0002150867663554553,6.817898891684269e-21,0.18169785406573968,0.1791934863658643,0.027090129607426752,3.596589537823913e-226,0.0014953090613130666,0.0001440297094557143,,,,
task2,llama,none,text_only,meanPupilSize,surprisal,0.0005872324719066262,7.9101799635332295,7.423756154902042e-05,3.111851485962856e-15,0.18169785406573968,0.1791934863658643,0.027090129607426752,3.596589537823913e-226,0.0006034147474704207,8.240187682235042e-05,,,,
task2,llama,none,text_only,meanPupilSize,role,0.014635605976926713,10.1823534730813,0.0014373500208589602,3.983086345844216e-24,0.18169785406573968,0.1791934863658643,0.027090129607426752,3.596589537823913e-226,0.0022127272361825772,0.00018393555007912448,,,,
task2,llama,none,text_only,GD,const,0.051906878820287106,12.346608498813392,0.004204140661403151,1.5296096442454093e-34,0.2656552162135398,0.26340779529912073,0.02864628913640826,0.0,0.0,0.0,,,408259.0,0.10262686485628345
task2,llama,none,text_only,GD,frequency,-0.005277862609417225,-9.867943969021457,0.000534849268093341,9.045885985977517e-23,0.2656552162135398,0.26340779529912073,0.02864628913640826,0.0,0.0025453266077907254,0.00018973839156398312,,,,
task2,llama,none,text_only,GD,length,0.003182038104604202,13.374699027837835,0.0002379147446967719,3.846856399238976e-40,0.2656552162135398,0.26340779529912073,0.02864628913640826,0.0,0.0026551634630552013,0.000209645602843861,,,,
task2,llama,none,text_only,GD,surprisal,0.0005979389070337717,7.281577012757559,8.21166769212443e-05,3.788564488746028e-13,0.2656552162135398,0.26340779529912073,0.02864628913640826,0.0,0.00047806810956386726,8.420623722105318e-05,,,,
task2,llama,none,text_only,GD,role,0.005963305879830558,3.750739300748781,0.0015899014571980703,0.00017821741993913587,0.2656552162135398,0.26340779529912073,0.02864628913640826,0.0,0.000438831006348989,7.666304577780171e-05,,,,
task2,llama,none,text_only,TRT,const,0.05288357379491351,11.86659067117355,0.004456509477770971,4.5315366745946724e-32,0.31917172178714026,0.3170880851284934,0.0310058876867554,0.0,0.0,0.0,,,415824.0,0.27964187083857406
task2,llama,none,text_only,TRT,frequency,-0.006341334196989588,-11.184887997112467,0.0005669555384574875,1.0204322920016921e-28,0.31917172178714026,0.3170880851284934,0.0310058876867554,0.0,0.0031903208220298318,0.00022511882498424144,,,,
task2,llama,none,text_only,TRT,length,0.003816477646290403,15.132955971204185,0.0002521964415645301,1.1415540568082856e-50,0.31917172178714026,0.3170880851284934,0.0310058876867554,0.0,0.0033353319110150234,0.00026333274154176735,,,,
task2,llama,none,text_only,TRT,surprisal,0.0010986910902959373,12.621955369705368,8.704602877403328e-05,5.316688798098457e-36,0.31917172178714026,0.3170880851284934,0.0310058876867554,0.0,0.0013386826455423612,0.00018403078066539475,,,,
task2,llama,none,text_only,TRT,role,0.004065569810798514,2.412312788049354,0.0016853410680983947,0.015885821132654566,0.31917172178714026,0.3170880851284934,0.0310058876867554,0.0,0.0002131953142994407,4.666469947133658e-05,,,,
